ClientAccountID,CurrencyPrimary,AssetClass,FXRateToBase,Symbol,Description,Conid,SecurityID,SecurityIDType,CUSIP,ISIN,UnderlyingConid,UnderlyingSymbol,Issuer,ReportDate,Quantity,Multiplier,MarkPrice,PositionValue,OpenPrice,CostBasisPrice,CostBasisMoney,PercentOfNAV,FifoPnlUnrealized,Side,LevelOfDetail,OpenDateTime,HoldingPeriodDateTime,Code,OriginatingOrderID
U1234567,USD,STK,1,CXDC,CHINA XD PLASTICS CO LTD,57697895,,,,,,,,20121119,179,1,4.21,753.59,3.355,3.355,600.545,,153.045,Long,LOT,20110812;123641,20110812;123641,,309980969
U1234567,USD,STK,1,CXDC,CHINA XD PLASTICS CO LTD,57697895,,,,,,,,20121119,900,1,4.21,3789,3.355,3.355,3019.5,,769.5,Long,LOT,20110812;123614,20110812;123614,,309980969
U1234567,USD,STK,1,CXDC,CHINA XD PLASTICS CO LTD,57697895,,,,,,,,20121119,800,1,4.21,3368,3.355,3.355,2684,,684,Long,LOT,20110812;123535,20110812;123535,,309980969
U1234567,USD,STK,1,CXDC,CHINA XD PLASTICS CO LTD,57697895,,,,,,,,20121119,521,1,4.21,2193.41,3.355,3.355,1747.955,,445.455,Long,LOT,20110812;123527,20110812;123527,,309980969
U1234567,USD,STK,1,CXDC,CHINA XD PLASTICS CO LTD,57697895,,,,,,,,20121119,300,1,4.21,1263,3.375,3.375,1012.5,,250.5,Long,LOT,20110812;123232,20110812;123232,,309979531
U1234567,USD,STK,1,CXDC,CHINA XD PLASTICS CO LTD,57697895,,,,,,,,20121119,400,1,4.21,1684,3.375,3.375,1350,,334,Long,LOT,20110812;123154,20110812;123154,,309979531
U1234567,USD,STK,1,CXDC,CHINA XD PLASTICS CO LTD,57697895,,,,,,,,20121119,4900,1,4.21,20629,3.375,3.375,16537.5,,4091.5,Long,LOT,20110812;123139,20110812;123139,,309979358
U1234567,USD,STK,1,CXDC,CHINA XD PLASTICS CO LTD,57697895,,,,,,,,20121119,100,1,4.21,421,3.385,3.385,338.5,,82.5,Long,LOT,20110812;123136,20110812;123136,,309979188
U1234567,USD,STK,1,CXDC,CHINA XD PLASTICS CO LTD,57697895,,,,,,,,20121119,1500,1,4.21,6315,3.385,3.385,5077.5,,1237.5,Long,LOT,20110812;123122,20110812;123122,,309979188
U1234567,USD,STK,1,CXDC,CHINA XD PLASTICS CO LTD,57697895,,,,,,,,20121119,2100,1,4.21,8841,3.405,3.405,7150.5,,1690.5,Long,LOT,20110812;123051,20110812;123051,,309979011
U1234567,USD,STK,1,CXDC,CHINA XD PLASTICS CO LTD,57697895,,,,,,,,20121119,1300,1,4.21,5473,3.275,3.275,4257.5,,1215.5,Long,LOT,20110812;104603,20110812;104603,,309920248
U1234567,USD,STK,1,CXDC,CHINA XD PLASTICS CO LTD,57697895,,,,,,,,20121119,2500,1,4.21,10525,3.275,3.275,8187.5,,2337.5,Long,LOT,20110812;104546,20110812;104546,,309920248
